dt,portfolio_id,nav
2023-10-19,a000Y000019ZliRQAS,127014.21
2023-10-18,a000Y000019ZliRQAS,126761.52
2023-10-17,a000Y000019ZliRQAS,128124.73
2023-10-16,a000Y000019ZliRQAS,128434.7
2023-10-15,a000Y000019ZliRQAS,127809.73
2023-10-14,a000Y000019ZliRQAS,127809.73
2023-10-13,a000Y000019ZliRQAS,127703.81
2023-10-12,a000Y000019ZliRQAS,127999.82
2023-10-11,a000Y000019ZliRQAS,128263.78
2023-10-10,a000Y000019ZliRQAS,128284.62
2023-10-09,a000Y000019ZliRQAS,126933.99
2023-10-08,a000Y000019ZliRQAS,126417.71
2023-10-07,a000Y000019ZliRQAS,126417.71
2023-10-06,a000Y000019ZliRQAS,126658.2
2023-10-05,a000Y000019ZliRQAS,125970.56
2023-10-04,a000Y000019ZliRQAS,126041.54
2023-10-03,a000Y000019ZliRQAS,125939.75
2023-10-02,a000Y000019ZliRQAS,126817.64
2023-10-01,a000Y000019ZliRQAS,126983.61
2023-09-30,a000Y000019ZliRQAS,126983.61
2023-09-29,a000Y000019ZliRQAS,127048.02
2023-09-28,a000Y000019ZliRQAS,127511.5
2023-09-27,a000Y000019ZliRQAS,126737.4
2023-09-26,a000Y000019ZliRQAS,126513.64
2023-09-25,a000Y000019ZliRQAS,127445.36
2023-09-24,a000Y000019ZliRQAS,127489.62
2023-09-23,a000Y000019ZliRQAS,127489.62
2023-09-22,a000Y000019ZliRQAS,127473.95
2023-09-21,a000Y000019ZliRQAS,127483.19
2023-09-20,a000Y000019ZliRQAS,129300.95
2023-09-19,a000Y000019ZliRQAS,129578.68
2023-09-18,a000Y000019ZliRQAS,130082.11
2023-09-17,a000Y000019ZliRQAS,130515.05
2023-09-16,a000Y000019ZliRQAS,130515.05
2023-09-15,a000Y000019ZliRQAS,130620.7
2023-09-14,a000Y000019ZliRQAS,130777.07
2023-09-13,a000Y000019ZliRQAS,129290.43
2023-09-12,a000Y000019ZliRQAS,129338.22
2023-09-11,a000Y000019ZliRQAS,129922.13
2023-09-10,a000Y000019ZliRQAS,129424.17
2023-09-09,a000Y000019ZliRQAS,129424.17
2023-09-08,a000Y000019ZliRQAS,129434.43
2023-09-07,a000Y000019ZliRQAS,129150.39
2023-09-06,a000Y000019ZliRQAS,129551.22
2023-09-05,a000Y000019ZliRQAS,129850.05
2023-09-04,a000Y000019ZliRQAS,130203.38
2023-09-03,a000Y000019ZliRQAS,130039.31
2023-09-02,a000Y000019ZliRQAS,130039.31
2023-09-01,a000Y000019ZliRQAS,129627.99
2023-08-31,a000Y000019ZliRQAS,128887.25
2023-08-30,a000Y000019ZliRQAS,129048.41
2023-08-29,a000Y000019ZliRQAS,129310.6
2023-08-28,a000Y000019ZliRQAS,127799.32
2023-08-27,a000Y000019ZliRQAS,127218.44
2023-08-26,a000Y000019ZliRQAS,127218.44
